id_survey,date_of_survey,ticket_system,overall_rating,ease_of_use,likelihood_to_recommend,overall_text,fill_survey,customer_satisfaction,is_satisfied,nps_category,vader_sentiment,transformer_sentiment
T_04262,2024-12-19,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_04608,2024-12-25,ServiceNow,3.0,2.0,3.0,Pros:The pros are definetly the possibility to create personalized filters and manage tickets from various countries and clients.,Responded,Not Satisfied,0.0,Detractor,Positive,Positive
T_03456,2024-12-04,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02435,2024-11-13,Zoho Desk,4.0,3.0,10.0,Best help the executives instrument to give your client a brilliant encounterSubsequent to involving Zoho work area for over 2 years I feel this is one of the most amazing programming for our ticket and client experience the board. With the assistance of Zoho work area our group is profoundly useful and we are seeing an extraordinary change in our consumer loyalty rate and ticket goal time.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00495,2024-09-19,Freshdesk,4.0,5.0,10.0,"Pros:I love using Freshdesk. We evaluated 3 top-tier customer support management system products to manage our complex array of products and Freshdesk was the clear winner on functionality and price. While it's true, one of the contenders could have met our needs a tiny bit better. The price tag was 8x higher than Freshdesk.That's not a joke. From the moment I saw Freshdesk, I loved the simplistic design of the site. It reflects how they do all of their development. Features are added gracefully and in ways I don't always expect. For example, we had major problems with multiple agents working on the same ticket.Freshdesk added a very simple indicator that shows icons detailing that someone else is looking at that same ticket. It's very subtle, but very effective. All of their features are focused on high-usability, without cluttering the screen with additional controls. It reminds me of how Apple does UI. It's simple and elegant.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02190,2024-11-08,Freshdesk,4.0,4.0,8.0,"Freshdesk has been a great product to use for us, it's easy to use and set up and provides a much needed cost effective service.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_00278,2024-09-11,Zoho Desk,5.0,5.0,9.0,"Zoho Desk delivers attributes that are quality, and well captured to offer customer help desk procedures",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03031,2024-11-25,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01870,2024-11-01,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01861,2024-10-30,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_01747,2024-10-27,Jira Service Management,5.0,4.0,8.0,You can take so much value from Jira is used correctly and if the team is well aware on how to use it. We use it on our daily standups and it helps a lot see what other team members are doing and their progress. You can easily spot who has more buffer and who needs a hand. The history feature is also a big plus to see what was changed in the description of the cards. I see this tool is a perfect fit for big companies.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_03186,2024-11-29,Freshdesk,4.0,4.0,7.0,"Freshdesk is great for customer support. Most importantly, it's a better way to manage customer requests than email. A handful of additional features would make it a robust system.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_04783,2024-12-29,Zoho Desk,5.0,5.0,10.0,"It's user experience is top notch and the collaboration feature is the lasting solution to team play, I enjoyed every bit of the software.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02562,2024-11-16,Zoho Desk,5.0,4.0,9.0,"Pros:Great Mail, great support, great invoicing.Really good job of moving this into the cloud. Thank you so much ZOHO.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02734,2024-11-19,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00203,2024-09-08,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03495,2024-12-05,Zoho Desk,5.0,4.0,8.0,Pros:Integration with the rest of the solutions is pretty simple and prebuilt. API and hooks are very good for making connections to outside products.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02933,2024-11-23,Zendesk,4.0,4.0,7.0,"Overall, I enjoy using Zendesk.It's a great way to interact with your customers and I wouldn't hesitate to recommend it as an option.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_00126,2024-09-05,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02927,2024-11-23,Freshdesk,5.0,4.0,9.0,"Pros:The software makes tracking customer support issues easy. Tickets can be moved between teams or individuals. There are many automation options that help manage ticket assignment, replies to customers and more. The customer service is always quick, friendly and efficient - even though we don't always get the answer we want. :)",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00358,2024-09-14,Zendesk,5.0,4.0,10.0,Overall Zendesk is best for cloud customer support as it supports email updates to customers and it has also a customer view facility. It also helps to engage customers but there are also some cons of Zendesk as there is no customer support at all and its pricing is also too high,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03370,2024-12-02,otrs,5.0,3.0,7.0,It helps us to administer our support tickets and create FAQ articles for them.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02815,2024-11-20,Jira Service Management,5.0,5.0,10.0,"Pros:JIRA Service Management is an effective service desk solution that has revolutionized our team's support process. With its powerful features, intuitive interface, and seamless integration with other Atlassian tools, it offers a comprehensive solution for managing customer requests and bugs.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00576,2024-09-22,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04863,2024-12-30,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02812,2024-11-20,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_03258,2024-11-30,Zendesk,4.0,4.0,9.0,Pros:I like how convenient it is for live support in virtual learning environment.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03763,2024-12-09,otrs,5.0,5.0,10.0,We can manage everything better with tools like OTRS so go give it a try. They offer free demo too.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04834,2024-12-29,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_01966,2024-11-03,Zoho Desk,5.0,5.0,5.0,"Pros:Simplify the workflow, empower your team to be more productive and collaborate efficiently. 3rd Party Integrations. Team Collaboration",Responded,Satisfied,1.0,Detractor,Positive,Positive
T_03792,2024-12-10,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04096,2024-12-15,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01729,2024-10-27,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01519,2024-10-21,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01252,2024-10-13,ServiceNow,4.0,4.0,7.0,Pros:Categorizing: Very easy to categorize tickets and The interface is simple and straightforward,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02657,2024-11-17,Jira Service Management,3.0,4.0,5.0,Efficient tool to manage tickets.,Responded,Not Satisfied,0.0,Detractor,Positive,Neutral
T_04405,2024-12-21,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03323,2024-12-02,Zoho Desk,5.0,4.0,8.0,"Pros:- Simple Setup- Professional Interface- Useful features- Fun to useI've used a number of on-premise solutions in the past, including ManageEngine.The search features and simplicity of use is a welcome improvement with Zoho.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02566,2024-11-16,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_04447,2024-12-22,Zendesk,5.0,5.0,10.0,We regularly use Zendesk for all my clients' customer support needs. No other platform comes close to it.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04833,2024-12-29,Jira Service Management,5.0,4.0,10.0,Pros:Extensive flexibility.Granular permissions.Integration with other Atlassian products.Ease of use from the customer perspective.,Responded,Satisfied,1.0,Promoter,Neutral,Positive
T_03659,2024-12-08,Zoho Desk,5.0,5.0,10.0,I am in love with this helpdesk sofware thanks to its versatility.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04885,2024-12-30,Zendesk,5.0,5.0,10.0,Pros:We use this software for internal collaboration on support tickets with our offshore team,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03987,2024-12-13,Zendesk,5.0,5.0,10.0,It helps us stay in touch with our customers,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03382,2024-12-03,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_02085,2024-11-06,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01923,2024-11-02,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01255,2024-10-13,Jira Service Management,4.0,5.0,9.0,Pros:Can easily track and record the progress of bugs and issues associated with a project within the team,Responded,Satisfied,1.0,Promoter,Positive,Neutral
T_02358,2024-11-11,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04502,2024-12-23,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00073,2024-09-03,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04648,2024-12-26,Zendesk,,,,,Not Responded,Not Satisfied,,,,
